year,exporter_code,importer_code,exporter_name,importer_name,hs_section,value,quantity
1995,156,380,China,Italy,"XVIII - Optical, medical, measuring instruments",149637.118,4424.729
1995,156,380,China,Italy,XX - Miscellaneous manufactured articles,498491.798,114284.83
1995,156,392,China,Japan,I - Live animals; animal products,1687805.185,558517.329
1995,156,392,China,Japan,II - Vegetable products,1493280.18,1334771.077
1995,156,392,China,Japan,III - Animal or vegetable fats and oils,11914.057,10447.02
1995,156,392,China,Japan,IV - Prepared foodstuffs; beverages; tobacco,1957324.231,1245341.173
1995,156,392,China,Japan,IX - Wood and articles of wood,816824.5009999999,1287744.949
1995,156,392,China,Japan,V - Mineral products,2438427.319,27725819.574
1995,156,392,China,Japan,VI - Products of the chemical or allied industries,1295953.465,1006410.196
1995,156,392,China,Japan,VII - Plastics and rubber,433428.35000000003,132752.124
1995,156,392,China,Japan,VIII - Raw hides and skins; leather; travel goods,1124993.367,73746.912
1995,156,392,China,Japan,X - Pulp of wood; paper and paperboard,113103.838,32279.367000000002
1995,156,392,China,Japan,XI - Textiles and textile articles,11666627.115,782847.196
1995,156,392,China,Japan,XII - Footwear; headgear; umbrellas,1732085.537,180567.91
1995,156,392,China,Japan,"XIII - Articles of stone, plaster, cement, glass",649395.9249999999,1162605.817
1995,156,392,China,Japan,XIV - Natural or cultured pearls; precious stones,46075.354,8.064
1995,156,392,China,Japan,XIX - Arms and ammunition,46.416,16.984
1995,156,392,China,Japan,XV - Base metals and articles of base metal,2278322.059,4533727.608
1995,156,392,China,Japan,XVI - Machinery and electrical equipment,4491915.363,393048.993
1995,156,392,China,Japan,"XVII - Vehicles, aircraft, vessels",280976.613,161012.175
1995,156,392,China,Japan,"XVIII - Optical, medical, measuring instruments",781337.885,23334.52
1995,156,392,China,Japan,XX - Miscellaneous manufactured articles,1733125.888,250650.729
1995,156,410,China,Rep. of Korea,I - Live animals; animal products,167138.289,59734.306
1995,156,410,China,Rep. of Korea,II - Vegetable products,241514.605,345302.53
1995,156,410,China,Rep. of Korea,III - Animal or vegetable fats and oils,8713.718,8609.595
1995,156,410,China,Rep. of Korea,IV - Prepared foodstuffs; beverages; tobacco,205008.536,684581.072
1995,156,410,China,Rep. of Korea,IX - Wood and articles of wood,154300.851,543619.96
1995,156,410,China,Rep. of Korea,V - Mineral products,1072058.675,14647117.949
1995,156,410,China,Rep. of Korea,VI - Products of the chemical or allied industries,580820.134,702766.475
1995,156,410,China,Rep. of Korea,VII - Plastics and rubber,84837.522,36927.873
1995,156,410,China,Rep. of Korea,VIII - Raw hides and skins; leather; travel goods,215358.44,22872.96
1995,156,410,China,Rep. of Korea,X - Pulp of wood; paper and paperboard,19368.111,24742.768
1995,156,410,China,Rep. of Korea,XI - Textiles and textile articles,1806347.544,340790.123
1995,156,410,China,Rep. of Korea,XII - Footwear; headgear; umbrellas,204695.61,19278.694
1995,156,410,China,Rep. of Korea,"XIII - Articles of stone, plaster, cement, glass",118909.031,281819.868
1995,156,410,China,Rep. of Korea,XIV - Natural or cultured pearls; precious stones,17398.021,0.001
1995,156,410,China,Rep. of Korea,XIX - Arms and ammunition,261.062,18.723
1995,156,410,China,Rep. of Korea,XV - Base metals and articles of base metal,1723985.739,4856428.516
1995,156,410,China,Rep. of Korea,XVI - Machinery and electrical equipment,807084.688,89870.322
1995,156,410,China,Rep. of Korea,"XVII - Vehicles, aircraft, vessels",94737.706,57612.263
1995,156,410,China,Rep. of Korea,"XVIII - Optical, medical, measuring instruments",86839.003,8520.714
1995,156,410,China,Rep. of Korea,XX - Miscellaneous manufactured articles,122510.54,31281.308
1995,156,699,China,India,I - Live animals; animal products,1924.2669999999998,366.028
1995,156,699,China,India,II - Vegetable products,30157.790999999997,36933.342000000004
1995,156,699,China,India,III - Animal or vegetable fats and oils,5557.451,8218.586
